Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"70MAI REARVIEW DASH CAM S500 3K DUAL HDR",,,"70MAI REARVIEW DASH CAM S500 3K DUAL HDR",,17999,To verify,
"70MAI REARVIEW DASH CAM S500 3K DUAL HDR",,,"70MAI REARVIEW DASH CAM S500 3K DUAL HDR",,17999,To verify,
"Alfa Roof Rack with Fenders for Toyota Hilux",,,"Alfa Roof Rack with Fenders for Toyota Hilux",,57300,To verify,
"Alfa Roof Rack with Fenders for Toyota Hilux",,,"Alfa Roof Rack with Fenders for Toyota Hilux",,57300,To verify,
"BAZARD Floor Mat for Hilux",,,"BAZARD Floor Mat for Hilux",,9500,To verify,
"BAZARD Floor Mat for Hilux",,,"BAZARD Floor Mat for Hilux",,9500,To verify,
"Bash plate for Toyota Hilux",,,"Bash plate for Toyota Hilux",,8500,To verify,
"Bash plate for Toyota Hilux",,,"Bash plate for Toyota Hilux",,8500,To verify,
"Bushranger  Diggar Shovel",,,"Bushranger  Diggar Shovel",,10650,To verify,
"Bushranger  Diggar Shovel",,,"Bushranger  Diggar Shovel",,10650,To verify,
"Bushranger Black Max AIR Compressor",,,"Bushranger Black Max AIR Compressor",,25450,To verify,
"Bushranger Black Max AIR Compressor",,,"Bushranger Black Max AIR Compressor",,25450,To verify,
"Bushranger DIRT BLOCKA Floor Mat (FRONT)",,,"Bushranger DIRT BLOCKA Floor Mat (FRONT)",,2750,To verify,
"Bushranger DIRT BLOCKA Floor Mat (FRONT)",,,"Bushranger DIRT BLOCKA Floor Mat (FRONT)",,2750,To verify,
"Bushranger Kinetic Snatch Rope 9m 12,000kg",,,"Bushranger Kinetic Snatch Rope 9m 12,000kg",,22800,To verify,
"Bushranger Kinetic Snatch Rope 9m 12,000kg",,,"Bushranger Kinetic Snatch Rope 9m 12,000kg",,22800,To verify,
"Bushranger MUD TAMER Floor Mat (REAR) - 1 Pair",,,"Bushranger MUD TAMER Floor Mat (REAR) - 1 Pair",,3675,To verify,
"Bushranger MUD TAMER Floor Mat (REAR) - 1 Pair",,,"Bushranger MUD TAMER Floor Mat (REAR) - 1 Pair",,3675,To verify,
"Bushranger Max AIR III Compressor",,,"Bushranger Max AIR III Compressor",,38650,To verify,
"Bushranger Max AIR III Compressor",,,"Bushranger Max AIR III Compressor",,38650,To verify,
"Bushranger TRI-Fold Shovel with Bag",,,"Bushranger TRI-Fold Shovel with Bag",,3699,To verify,
