Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Ambient lights for fortuner type 3 and type 4 - 18 pcs",,,"Ambient lights for fortuner type 3 and type 4 - 18 pcs",,18500,To verify,
"Ambient lights for fortuner type 3 and type 4 - 18 pcs",,,"Ambient lights for fortuner type 3 and type 4 - 18 pcs",,18500,To verify,
"Audi A4 B9 RS4 body kit",,,"Audi A4 B9 RS4 body kit",,249500,To verify,
"Audi A4 B9 RS4 body kit",,,"Audi A4 B9 RS4 body kit",,249500,To verify,
"Automatic side steps for toyota hilux",,,"Automatic side steps for toyota hilux",,75000,To verify,
"Automatic side steps for toyota hilux",,,"Automatic side steps for toyota hilux",,75000,To verify,
"BMW 3 Series (2013–2019) M2 Style Body Kit",,,"BMW 3 Series (2013–2019) M2 Style Body Kit",,121600,To verify,
"BMW 3 Series (2013–2019) M2 Style Body Kit",,,"BMW 3 Series (2013–2019) M2 Style Body Kit",,121600,To verify,
"BMW 3 Series E90 Body Kit",,,"BMW 3 Series E90 Body Kit",,97280,To verify,
"BMW 3 Series E90 Body Kit",,,"BMW 3 Series E90 Body Kit",,97280,To verify,
"BMW 3 Series E90 M4 body kit",,,"BMW 3 Series E90 M4 body kit",,107520,To verify,
"BMW 3 Series E90 M4 body kit",,,"BMW 3 Series E90 M4 body kit",,107520,To verify,
"BMW 5 Series F10 (2014-2017) LCI to G60/G68 (2024) M-Tech M5 Body Kit Conversion – Headlights, Taillights, Hood, Bumper & Fenders",,,"BMW 5 Series F10 (2014-2017) LCI to G60/G68 (2024) M-Tech M5 Body Kit Conversion – Headlights, Taillights, Hood, Bumper & Fenders",,399890,To verify,
"BMW 5 Series F10 (2014-2017) LCI to G60/G68 (2024) M-Tech M5 Body Kit Conversion – Headlights, Taillights, Hood, Bumper & Fenders",,,"BMW 5 Series F10 (2014-2017) LCI to G60/G68 (2024) M-Tech M5 Body Kit Conversion – Headlights, Taillights, Hood, Bumper & Fenders",,399890,To verify,
"BMW 5 Series F10/F18 (2010-2017) to 2021+ G30/G38/F90 LCI M5 M-Sport Facelift Conversion kit",,,"BMW 5 Series F10/F18 (2010-2017) to 2021+ G30/G38/F90 LCI M5 M-Sport Facelift Conversion kit",,194000,To verify,
"BMW 5 Series F10/F18 (2010-2017) to 2021+ G30/G38/F90 LCI M5 M-Sport Facelift Conversion kit",,,"BMW 5 Series F10/F18 (2010-2017) to 2021+ G30/G38/F90 LCI M5 M-Sport Facelift Conversion kit",,194000,To verify,
"BMW 7 Series F01 to G70 Facelift Conversion Kit",,,"BMW 7 Series F01 to G70 Facelift Conversion Kit",,458000,To verify,
"BMW 7 Series F01 to G70 Facelift Conversion Kit",,,"BMW 7 Series F01 to G70 Facelift Conversion Kit",,458000,To verify,
"BMW F10 M4 Body Kit",,,"BMW F10 M4 Body Kit",,95000,To verify,
"BMW F10 M4 Body Kit",,,"BMW F10 M4 Body Kit",,95000,To verify,
"BMW G30 to M5 Facelift BodyKit",,,"BMW G30 to M5 Facelift BodyKit",,215000,To verify,
"BMW G30 to M5 Facelift BodyKit",,,"BMW G30 to M5 Facelift BodyKit",,215000,To verify,
"Black Edition Body Kit for Land Rover Defender",,,"Black Edition Body Kit for Land Rover Defender",,240000,To verify,
"Black Edition Body Kit for Land Rover Defender",,,"Black Edition Body Kit for Land Rover Defender",,240000,To verify,
"Brembo GT-R 365mm 6-Piston Caliper Rear Brake Kit For Toyota Hilux",,,"Brembo GT-R 365mm 6-Piston Caliper Rear Brake Kit For Toyota Hilux",,325000,To verify,
"Brembo GT-R 365mm 6-Piston Caliper Rear Brake Kit For Toyota Hilux",,,"Brembo GT-R 365mm 6-Piston Caliper Rear Brake Kit For Toyota Hilux",,325000,To verify,
"Brembo GT-R365mm 6Piston Front Brake Kit for Toyota Hilux",,,"Brembo GT-R365mm 6Piston Front Brake Kit for Toyota Hilux",,335000,To verify,
"Brembo GT-R365mm 6Piston Front Brake Kit for Toyota Hilux",,,"Brembo GT-R365mm 6Piston Front Brake Kit for Toyota Hilux",,335000,To verify,
"Ford Endeavour 2019+ Front,Rear Skirting Kit",,,"Ford Endeavour 2019+ Front,Rear Skirting Kit",,61440,To verify,
