Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"12th Gen Universal Carbon Fibre Rear Spoiler for Sedan (High Bracket)",,,"12th Gen Universal Carbon Fibre Rear Spoiler for Sedan (High Bracket)",,5500,To verify,
"12th Gen Universal Carbon Fibre Rear Spoiler for Sedan (High Bracket)",,,"12th Gen Universal Carbon Fibre Rear Spoiler for Sedan (High Bracket)",,5500,To verify,
"13 gen universal carbon fibre rear spoiler for sedan",,,"13 gen universal carbon fibre rear spoiler for sedan",,6500,To verify,
"13 gen universal carbon fibre rear spoiler for sedan",,,"13 gen universal carbon fibre rear spoiler for sedan",,6500,To verify,
"3 Generation Universal Rear Spoiler for Hatchback Cars",,,"3 Generation Universal Rear Spoiler for Hatchback Cars",,3990,To verify,
"3 Generation Universal Rear Spoiler for Hatchback Cars",,,"3 Generation Universal Rear Spoiler for Hatchback Cars",,3990,To verify,
"Armando Style Hilux Rear Bumper – Premium Rear Protection for Off-Road Use",,,"Armando Style Hilux Rear Bumper – Premium Rear Protection for Off-Road Use",,53100,To verify,
"Armando Style Hilux Rear Bumper – Premium Rear Protection for Off-Road Use",,,"Armando Style Hilux Rear Bumper – Premium Rear Protection for Off-Road Use",,53100,To verify,
"Armando Style Hilux Rear Bumper – Premium Rear Protection for Off-Road Use",,,"Armando Style Hilux Rear Bumper – Premium Rear Protection for Off-Road Use",,53100,To verify,
"BAT front bumper",,,"BAT front bumper",,38000,To verify,
"BAT front bumper",,,"BAT front bumper",,38000,To verify,
"Bonnet Scoop for Toyota Fortuner Type 2 & 3",,,"Bonnet Scoop for Toyota Fortuner Type 2 & 3",,14999,To verify,
"Bonnet Scoop for Toyota Fortuner Type 2 & 3",,,"Bonnet Scoop for Toyota Fortuner Type 2 & 3",,14999,To verify,
"Bullhorn Wrangler Bumper With Space Cover For Mahindra Thar",,,"Bullhorn Wrangler Bumper With Space Cover For Mahindra Thar",,30720,To verify,
"Bullhorn Wrangler Bumper With Space Cover For Mahindra Thar",,,"Bullhorn Wrangler Bumper With Space Cover For Mahindra Thar",,30720,To verify,
"Center spoiler garnish for Toyota Hycross",,,"Center spoiler garnish for Toyota Hycross",,7500,To verify,
"Center spoiler garnish for Toyota Hycross",,,"Center spoiler garnish for Toyota Hycross",,7500,To verify,
"Chrome Rear Bumper for Isuzu D-MAX",,,"Chrome Rear Bumper for Isuzu D-MAX",,13990,To verify,
"Chrome Rear Bumper for Isuzu D-MAX",,,"Chrome Rear Bumper for Isuzu D-MAX",,13990,To verify,
"Creta 2024 N-Line RS style grill",,,"Creta 2024 N-Line RS style grill",,9500,To verify,
"Creta 2024 N-Line RS style grill",,,"Creta 2024 N-Line RS style grill",,9500,To verify,
