Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Bushranger Recovery Damper",,,"Bushranger Recovery Damper",,4585,To verify,
"Bushranger Recovery Damper",,,"Bushranger Recovery Damper",,4585,To verify,
"Bushranger Snatch Strap 8000kg",,,"Bushranger Snatch Strap 8000kg",,10365,To verify,
"Bushranger Snatch Strap 8000kg",,,"Bushranger Snatch Strap 8000kg",,10365,To verify,
"Dobinsons 2 inch Lift Kit for Toyota Hilux",,,"Dobinsons 2 inch Lift Kit for Toyota Hilux",,190500,To verify,
"Dobinsons 2 inch Lift Kit for Toyota Hilux",,,"Dobinsons 2 inch Lift Kit for Toyota Hilux",,190500,To verify,
"Dr Nano 2 Nitro Gas Lift Kit for Mitsubishi Pajero SFX/GLS",,,"Dr Nano 2 Nitro Gas Lift Kit for Mitsubishi Pajero SFX/GLS",PAJERO-DRNANO-2INLIFT,65000,To verify,
"Dr Nano Upper Control Arms for Toyota Fortuner and Hilux 2005+",,,"Dr Nano Upper Control Arms for Toyota Fortuner and Hilux 2005+",,25000,To verify,
"Dr Nano Upper Control Arms for Toyota Fortuner and Hilux 2005+",,,"Dr Nano Upper Control Arms for Toyota Fortuner and Hilux 2005+",,25000,To verify,
"Dr. Nano 2 Inch Lift Kit with Foam Cell Shock Absorbers for Toyota Fortuner 2009-16",,,"Dr. Nano 2 Inch Lift Kit with Foam Cell Shock Absorbers for Toyota Fortuner 2009-16",,0,To verify,
"Dr. Nano 2 Inch Lift Kit with Foam Cell Shock Absorbers for Toyota Fortuner 2009-16",,,"Dr. Nano 2 Inch Lift Kit with Foam Cell Shock Absorbers for Toyota Fortuner 2009-16",,0,To verify,
"Dr. Nano 2 Inch Lift Kit with Foam Cell Shock Absorbers for Toyota Fortuner 2016-on",,,"Dr. Nano 2 Inch Lift Kit with Foam Cell Shock Absorbers for Toyota Fortuner 2016-on",,0,To verify,
