slug,name,current_parent,proposed_hub,action
"air-compressor","air compressor","Accessories","Accessories","keep"
"dual-battery-manager","Dual Battery Manager","Accessories","Accessories","keep"
"dual-battery-monitor-display","Dual Battery Monitor Display","Accessories","Accessories","keep"
"jerry-can","jerry can","Accessories","Accessories","keep"
"key-case","Key Case","Accessories","Accessories","keep"
"portable-battery-box","Portable Battery Box","Accessories","Accessories","keep"
"smart-key","Smart Key","Accessories","Accessories","keep"
"snatch-straps","snatch straps","Accessories","Accessories","keep"
"android-car-stereo","Android car stereo","Audio","Audio","keep"
"android-screen","Android Screen","Audio","Audio","keep"
"infotainment-system","Infotainment System","Audio","Audio","keep"
"speaker","speaker","Audio","Audio","keep"
"spoiler","Spoiler","Exterior","Exterior","keep"
"dash-kits","Dash Kits","Interior","Interior","keep"
"digital-instrumental-cluster","Digital instrumental cluster","Interior","Interior","keep"
"floor-mats","Floor Mats","Interior","Interior","keep"
"seat","Seat","Interior","Interior","keep"
"steering-wheel","Steering Wheel","Interior","Interior","keep"
"ambient-lights","Ambient Lights","Lighting","Lighting","keep"
"auxillary-exterior-light","Auxillary Exterior Light","Lighting","Lighting","keep"
"auxillary-stop-light","Auxillary Stop Light","Lighting","Lighting","keep"
"bar-light","Bar Light","Lighting","Lighting","keep"
"bonnet-light-mount","Bonnet Light Mount","Lighting","Lighting","keep"
"brake-light","Brake Light","Lighting","Lighting","keep"
"bulb","Bulb","Lighting","Lighting","keep"
"car-lighting","Car Lighting","Lighting","Lighting","keep"
"connecting-center-light","Connecting Center Light","Lighting","Lighting","keep"
"daytime-running-light","Daytime Running Light","Lighting","Lighting","keep"
"dicky-light","Dicky Light","Lighting","Lighting","keep"
"driving-light-protective-covers","driving light protective covers","Lighting","Lighting","keep"
"driving-lights","driving lights","Lighting","Lighting","keep"
"drl","DRL","Lighting","Lighting","keep"
"fog-lamp","Fog Lamp","Lighting","Lighting","keep"
"fog-lamps","Fog Lamps","Lighting","Lighting","keep"
"headlight","Headlight","Lighting","Lighting","keep"
"hood-light-bug-visor","Hood Light Bug Visor","Lighting","Lighting","keep"
"led-lights","LED lights","Lighting","Lighting","keep"
"light-mount-clamp","Light Mount Clamp","Lighting","Lighting","keep"
"lightbar","Lightbar","Lighting","Lighting","keep"
"marker-led","Marker LED","Lighting","Lighting","keep"
"motor-vehicle-lighting","Motor Vehicle Lighting","Lighting","Lighting","keep"
"number-plate-light","Number Plate Light","Lighting","Lighting","keep"
"passenger-compartment-light","Passenger Compartment Light","Lighting","Lighting","keep"
"pillar-light","Pillar Light","Lighting","Lighting","keep"
"piller-lights","piller lights","Lighting","Lighting","keep"
"rear-light","Rear Light","Lighting","Lighting","keep"
"roof-light","Roof Light","Lighting","Lighting","keep"
"roof-light-bar","roof light bar","Lighting","Lighting","keep"
"tail-light","Tail Light","Lighting","Lighting","keep"
"air-filters","Air Filters","Performance","Performance","keep"
"air-intake-systems","Air Intake Systems","Performance","Performance","keep"
"exhaust","Exhaust","Performance","Performance","keep"
"throttle-controllers","throttle controllers","Performance","Performance","keep"
"turbo","Turbo","Performance","Performance","keep"
"winch-extension-strap","winch extension strap","Winch","Winch","keep"
"vehicle-safety-security","Vehicle Safety & Security","Vehicle Parts & Accessories","Accessories","move"
"vehicle-alarms-locks","Vehicle Alarms & Locks","Vehicle Safety & Security","Accessories","move"
"automotive-alarm-accessories","Automotive Alarm Accessories","Vehicle Alarms & Locks","Accessories","move"
"automotive-storage","Automotive Storage","TOP","Accessories","move"
"compressors","Compressors","TOP","Accessories","move"
